freq_GHz,Sdd11_dB_freespace,Sdd11_dB_onbody
1.5,-0.8162383994435285,-1.8577107586365855
1.5017,-0.8191263094051231,-1.866926284313276
1.5034,-0.8220359713369421,-1.8761885796284758
1.5051,-0.824967391508089,-1.885497681411338
1.5068,-0.8279205756876841,-1.8948536234878512
1.5085,-0.8308955291440467,-1.9042564366149461
1.5102,-0.8338922566438529,-1.9137061484140916
1.5119,-0.836910762451385,-1.923202783304347
1.5136,-0.8399510503277624,-1.9327463624349273
1.5153,-0.8430131235302505,-1.9423369036172444
1.517,-0.8460969848115752,-1.9519744212564456
1.5187,-0.8492026364192997,-1.9616589262824593
1.5204,-0.8523300800952023,-1.9713904260805188
1.5221,-0.8554793170747387,-1.9811689244212314
1.5238,-0.8586503480865072,-1.9909944213901278
1.5255,-0.8618431733517705,-2.000866913316738
1.5272000000000001,-0.8650577925840175,-2.0107863927031975
1.5289,-0.8682942049885677,-2.0207528481523758
1.5306,-0.8715524092622111,-2.0307662642955417
1.5323,-0.8748324035929066,-2.0408266217195496
1.534,-0.8781341856595262,-2.0509338968936017
1.5357,-0.8814577526316243,-2.061088062095523
1.5374,-0.8848031011692918,-2.071289085337617
1.5391,-0.8881702274230281,-2.0815369302920956
1.5408,-0.8915591270336852,-2.0918315562160363
1.5425,-0.89496979513246,-2.1021729178759445
1.5442,-0.898402226340935,-2.1125609654719044
1.5459,-0.9018564147711888,-2.122995644561297
1.5476,-0.9053323540259537,-2.133476895982117
1.5493,-0.9088300371988423,-2.1440046557759307
1.551,-0.9123494568746199,-2.154578855110381
1.5527,-0.9158906051295735,-2.1651994202013918
1.5544,-0.9194534735319135,-2.1758662722349267
1.5561,-0.9230380531422524,-2.18657932728844
1.5578,-0.9266443345141774,-2.1973384962519567
1.5595,-0.930272307694858,-2.2081436847488174
1.5612,-0.9339219622257589,-2.2189947930560736
1.5629,-0.9375932871434246,-2.229891716024607
1.5646,-0.9412862709803228,-2.2408343429988946
1.5663,-0.9450009017658001,-2.2518225577365145
1.568,-0.9487371670271089,-2.262856238327354
1.5697,-0.9524950537905131,-2.2739352571125675
1.5714,-0.9562745485825154,-2.2850594806032793
1.5731,-0.9600756374311357,-2.296228769399049
1.5748,-0.9638983058673258,-2.3074429781061427
1.5765,-0.9677425389264627,-2.3187019552555963
1.5782,-0.971608321149948,-2.330005543221111
1.5799,-0.9754956365869262,-2.341353578136813
1.5816,-0.9794044687960967,-2.352745889814867
1.5833,-0.9833348008476523,-2.364182301663042
1.585,-0.9872866153253302,-2.375662630602144
1.5867,-0.9912598943285813,-2.387186686983502
1.5884,-0.9952546194748881,-2.3987542745063752
1.5901,-0.9992707719021707,-2.410365190135461
1.5918,-1.0033083322713696,-2.4220192240184617
1.5935,-1.007367280769134,-2.4337161594037924
1.5952,-1.0114475971106864,-2.4454557725584505
1.5969,-1.0155492605428005,-2.4572378326861375
1.5986,-1.0196722498469488,-2.469062101845647
1.6003,-1.0238165433426203,-2.480928334869654
1.602,-1.0279821188907738,-2.4928362792838494
1.6037,-1.0321689538974697,-2.5047856752266497
1.6054,-1.036377025317698,-2.516776255369434
1.6071,-1.040606309659341,-2.5288077448374544
1.6088,-1.044856782987358,-2.5408798611315078
1.6105,-1.049128420928151,-2.5529923140504613
1.6122,-1.053421198674112,-2.5651448056147608
1.6139000000000001,-1.0577350909883836,-2.577337029990994
1.6156,-1.0620700722098428,-2.589568673417682
1.6173,-1.0664261162582704,-2.6018394141324364
1.619,-1.070803196639774,-2.6141489223005694
1.6207,-1.0752012864524083,-2.6264968599453846
1.6224,-1.0796203583920652,-2.6388828808802858
1.6241,-1.0840603847585832,-2.6513066306428468
1.6258,-1.0885213374621099,-2.6637677464311165
1.6275,-1.0930031880297444,-2.6762658570422864
1.6292,-1.0975059076124198,-2.6888005828139416
1.6309,-1.1020294669920712,-2.7013715355682026
1.6326,-1.106573836589095,-2.7139783185588935
1.6343,-1.1111389864700822,-2.7266205264220496
1.6360000000000001,-1.115724886355871,-2.7392977451300657
1.6377,-1.1203315056298906,-2.7520095519496652
1.6394,-1.124958813346839,-2.7647555154041097
1.6411,-1.1296067782416659,-2.777535195239885
1.6428,-1.1342753687389229,-2.790348142398175
1.6445,-1.1389645529624324,-2.8031938989915717
1.6461999999999999,-1.1436742987453263,-2.816071998286201
1.6479,-1.1484045736404511,-2.8289819646898224
1.6496,-1.1531553449311416,-2.8419233137461006
1.6513,-1.1579265796423852,-2.8548955521355768
1.653,-1.1627182445523994,-2.8678981776836237
1.6547,-1.1675303062045834,-2.880930679375895
1.6564,-1.1723627309199245,-2.8939925373815867
1.6581000000000001,-1.1772154848098186,-2.9070832230849546
1.6598,-1.1820885337893268,-2.920202199125565
1.6615,-1.1869818435909065,-2.9333489194475844
1.6632,-1.1918953797785874,-2.9465228293585985
1.6649,-1.1968291077626398,-2.959723365598364
1.6666,-1.2017829928147323,-2.9729499564178354
1.6683,-1.2067570000835668,-2.986202021668924
1.67,-1.2117510946110812,-2.9994789729052713
1.6717,-1.2167652413491208,-3.012780213494467
1.6734,-1.221799405176692,-3.0261051387419298
1.6751,-1.2268535509177452,-3.039453136026826
1.6768,-1.2319276433595496,-3.0528235849502035
1.6785,-1.237021647271606,-3.066215857495588
1.6802000000000001,-1.2421355274252035,-3.0796293182021506
1.6819,-1.2472692486135397,-3.0930633243505885
1.6836,-1.2524227756724857,-3.1065172261617233
1.6853,-1.2575960735019633,-3.11999036700781
1.687,-1.262789107087994,-3.1334820836364297
1.6887,-1.2680018415253789,-3.1469917064068005
1.6904,-1.273234242041067,-3.16051855953822
1.6921,-1.2784862740182168,-3.1740619613703136
1.6938,-1.2837579030209252,-3.18762122463456
1.6955,-1.2890490948197018,-3.201195656736612
1.6972,-1.2943598154176528,-3.214784560048698
1.6989,-1.2996900310773856,-3.228387232211328
1.7006000000000001,-1.3050397083486962,-3.242002966443442
1.7023,-1.310408814096983,-3.2556310518599316
1.704,-1.3157973155324503,-3.2692707737955056
1.7057,-1.3212051802400901,-3.2829214141335443
1.7074,-1.3266323762104508,-3.2965822516386876
1.7091,-1.3320788718712224,-3.310252562291632
1.7108,-1.3375446361196122,-3.3239316196245525
1.7125,-1.343029638355571,-3.337618695055513
1.7142,-1.3485338485158116,-3.3513130582200708
1.7159,-1.3540572371086845,-3.3650139772981995
1.7176,-1.3595997752498998,-3.378720719334618
1.7193,-1.3651614346990646,-3.3924325505505366
1.721,-1.370742187897115,-3.406148736644767
1.7227000000000001,-1.37634200800455,-3.4198685430821696
1.7244,-1.38196086894055,-3.4335912353672793
1.7261,-1.3875987454229401,-3.4473160793011437
1.7278,-1.3932556130090044,-3.4610423412192692
1.7295,-1.3989314481371187,-3.474769288208728
1.7312,-1.4046262281692754,-3.488496188302469
1.7329,-1.4103399314343794,-3.502222310649133
1.7346,-1.4160725372724112,-3.5159469256565807
1.7363,-1.421824026079363,-3.529669305107677
1.738,-1.427594379352993,-3.543388722246958
1.7397,-1.433383579739313,-3.5571044518370485
1.7414,-1.4391916110798708,-3.570815770183887
1.7431,-1.4450184584597272,-3.584521955130065
1.7448000000000001,-1.45086410825613,-3.5982222860159285
1.7465,-1.456728548187853,-3.61191604360819
1.7482,-1.462611767365156,-3.625602509996338
1.7499,-1.4685137563403403,-3.6392809684572223
1.7516,-1.4744345071588052,-3.652950703288624
1.7533,-1.4803740134106214,-3.6666109996129608
1.755,-1.4863322702825164,-3.680261143152456
1.7567,-1.4923092746101976,-3.693900419977644
1.7584,-1.4983050249310104,-3.7075281162311517
1.7601,-1.504319521536763,-3.7211435178291863
1.7618,-1.5103527665267142,-3.7347459101433382
1.7635,-1.516404763860566,-3.748334577665631
1.7652,-1.522475519411419,-3.7619088036598844
1.7669000000000001,-1.5285650410185412,-3.7754678698028536
1.7686,-1.5346733385398408,-3.789011055818569
1.7703,-1.5408004239039146,-3.8025376391096053
1.772,-1.5469463111615522,-3.8160468943890584
1.7737,-1.5531110165365125,-3.8295380933170398
1.7754,-1.5592945584754219,-3.843010504145638
1.7771,-1.5654969576966482,-3.8564633913761126
1.7788,-1.571718237237894,-3.869896015432222
1.7805,-1.577958422502397,-3.883307632353314
1.7822,-1.5842175413034312,-3.8966974935108105
1.7839,-1.5904956239069499,-3.9100648453514557
1.7856,-1.5967927030720546,-3.9234089291704817
1.7873,-1.6031088140890717,-3.9367289809176937
1.7890000000000001,-1.6094439948149457,-3.9500242310390754
1.7907,-1.6157982857055977,-3.9632939043562887
1.7924,-1.622171729844989,-3.9765372199860978
1.7941,-1.6285643729704926,-3.989753391301391
1.7958,-1.6349762634942238,-4.002941625935143
1.7975,-1.641407452519939,-4.0161011258282215
1.7992,-1.6478579938550733,-4.02923108732172
1.8009,-1.6543279440174827,-4.042330701293874
1.8026,-1.6608173622364062,-4.0553991533415745
1.8043,-1.6673263104471867,-4.068435624005796
1.806,-1.6738548532791684,-4.081439289040228
1.8077,-1.680403058036253,-4.094409319721785
1.8094000000000001,-1.6869709946695202,-4.1073448832015895
1.8111000000000002,-1.6935587357412818,-4.120245142894568
1.8128,-1.7001663563799188,-4.133109258905715
1.8145,-1.7067939342248146,-4.145936388490628
1.8162,-1.7134415493606654,-4.158725686547922
1.8179,-1.7201092842403833,-4.171476306140866
1.8195999999999999,-1.7267972235958418,-4.184187399045395
1.8213,-1.7335054543355937,-4.19685811632171
1.823,-1.740234065428676,-4.209487608906347
1.8247,-1.746983147773642,-4.222075028221851
1.8264,-1.7537527940518367,-4.234619526800884
1.8281,-1.7605430985639092,-4.247120258921825
1.8298,-1.767354157048611,-4.259576381252817
1.8315000000000001,-1.774186066482706,-4.2719870535014
1.8332000000000002,-1.781038924861005,-4.284351439066744
1.8349,-1.7879128309553067,-4.296668705691929
1.8366,-1.7948078840511124,-4.308938026113474
1.8383,-1.8017241836609093,-4.321158578705708
1.84,-1.8086618292127694,-4.333329548117635
1.8417,-1.815620919713048,-4.3454501259000935
1.8434,-1.822601553381848,-4.357519511121194
1.8451,-1.829603827259997,-4.369536910968199
1.8468,-1.8366278367861861,-4.381501541334149
1.8485,-1.8436736753429805,-4.39341262738777
1.8502,-1.8507414337703811,-4.405269404125341
1.8519,-1.857831199845572,-4.41707111690333
1.8536000000000001,-1.8649430577276402,-4.42881702195089
1.8553,-1.872077087365927,-4.440506386861357
1.857,-1.8792333638708005,-4.4521384910621435
1.8587,-1.8864119568456836,-4.46371262626245
1.8604,-1.893612929679186,-4.475228096878544
1.8621,-1.9008363387963154,-4.4866842204363095
1.8638,-1.9080822328678355,-4.498080327950997
1.8655,-1.9153506519769061,-4.509415764284185
1.8672,-1.9226416267423767,-4.520689888478121
1.8689,-1.9299551773981183,-4.531902074067597
1.8706,-1.9372913128281284,-4.543051709369732
1.8723,-1.9446500295572196,-4.554138197752025
1.874,-1.9520313106973985,-4.565160957879116
1.8757000000000001,-1.959435124850334,-4.576119423938806
1.8774,-1.9668614249665797,-4.587013045847867
1.8791,-1.9743101471625557,-4.597841289438276
1.8808,-1.9817812094966811,-4.60860363662446
1.8825,-1.9892745107065322,-4.6192995855523
1.8842,-1.9967899289091826,-4.629928650730454
1.8859,-2.0043273202676324,-4.640490363144859
1.8876,-2.0118865176265412,-4.650984270356923
1.8893,-2.019467329121264,-4.661409936586311
1.891,-2.0270695367647042,-4.671766942778821
1.8927,-2.0346928950172876,-4.682054886660261
