freq_GHz,S11_dB_simulated_freespace_singleended
1.5,-1.310052792447619
1.5017,-1.3187285222469192
1.5034,-1.3274619174906594
1.5051,-1.3362533316906253
1.5068,-1.3451031208200486
1.5085,-1.3540116433317073
1.5102,-1.3629792601762074
1.5119,-1.372006334820447
1.5136,-1.3810932332662684
1.5153,-1.3902403240693046
1.517,-1.3994479783580087
1.5187,-1.4087165698529076
1.5204,-1.4180464748860446
1.5221,-1.4274380724206193
1.5238,-1.4368917440708826
1.5255,-1.4464078741222244
1.5272000000000001,-1.4559868495514756
1.5289,-1.4656290600474766
1.5306,-1.4753348980318501
1.5323,-1.485104758680049
1.534,-1.494939039942623
1.5357,-1.50483814256676
1.5374,-1.514802470118094
1.5391,-1.5248324290027637
1.5408,-1.534928428489769
1.5425,-1.5450908807336028
1.5442,-1.5553202007971731
1.5459,-1.5656168066750347
1.5476,-1.5759811193169182
1.5493,-1.5864135626515918
1.551,-1.5969145636110387
1.5527,-1.6074845521549643
1.5544,-1.6181239612956755
1.5561,-1.6288332271232902
1.5578,-1.6396127888313272
1.5595,-1.6504630887426632
1.5612,-1.6613845723358862
1.5629,-1.6723776882720616
1.5646,-1.68344288842188
1.5663,-1.694580627893256
1.568,-1.7057913650593535
1.5697,-1.7170755615870692
1.5714,-1.7284336824659778
1.5731,-1.7398661960377682
1.5748,-1.7513735740261482
1.5765,-1.7629562915673025
1.5782,-1.7746148272408304
1.5799,-1.7863496631012812
1.5816,-1.7981612847102024
1.5833,-1.810050181168803
1.585,-1.822016845151205
1.5867,-1.8340617729383093
1.5884,-1.8461854644523157
1.5901,-1.8583884232918904
1.5918,-1.8706711567680259
1.5935,-1.8830341759405989
1.5952,-1.8954779956556855
1.5969,-1.908003134583588
1.5986,-1.9206101152576731
1.6003,-1.9332994641140218
1.602,-1.9460717115318895
1.6037,-1.9589273918750525
1.6054,-1.9718670435340555
1.6071,-1.984891208969345
1.6088,-1.9980004347554046
1.6105,-2.011195271625865
1.6122,-2.024476274519636
1.6139000000000001,-2.037844002628097
1.6156,-2.0512990194434213
1.6173,-2.0648418928079875
1.619,-2.0784731949650217
1.6207,-2.0921935026104213
1.6224,-2.1060033969458747
1.6241,-2.1199034637332916
1.6258,-2.1338942933505605
1.6275,-2.147976480848763
1.6292,-2.1621506260108108
1.6309,-2.1764173334116155
1.6326,-2.19077721247982
1.6343,-2.205230877561166
1.6360000000000001,-2.2197789479835284
1.6377,-2.2344220481237222
1.6394,-2.249160807476105
1.6411,-2.263995860723073
1.6428,-2.2789278478074957
1.6445,-2.2939574140071777
1.6461999999999999,-2.3090852100114265
1.6479,-2.3243118919997925
1.6496,-2.3396381217230573
1.6513,-2.355064566586588
1.653,-2.3705918997361004
1.6547,-2.3862208001459644
1.6564,-2.401951952710119
1.6581000000000001,-2.4177860483357088
1.6598,-2.4337237840395325
1.6615,-2.449765863047457
1.6632,-2.4659129948968133
1.6649,-2.4821658955419945
1.6666,-2.4985252874633295
1.6683,-2.5149918997793397
1.67,-2.531566468362532
1.6717,-2.548249735958895
1.6734,-2.565042452311152
1.6751,-2.5819453742860317
1.6768,-2.5989592660055987
1.6785,-2.6160848989828933
1.6802000000000001,-2.6333230522619977
1.6819,-2.6506745125626754
1.6836,-2.668140074429883
1.6853,-2.685720540388155
1.687,-2.7034167211012394
1.6887,-2.721229435537052
1.6904,-2.7391595111382436
1.6921,-2.757207783998558
1.6938,-2.775375099045203
1.6955,-2.793662310227501
1.6972,-2.8120702807120597
1.6989,-2.830599883084676
1.7006000000000001,-2.849251999559291
1.7023,-2.8680275221942924
1.704,-2.8869273531163415
1.7057,-2.9059524047521657
1.7074,-2.9251036000685326
1.7091,-2.9443818728207756
1.7108,-2.963788167810184
1.7125,-2.983323441150649
1.7142,-3.0029886605448812
1.7159,-3.022784805570616
1.7176,-3.0427128679772
1.7193,-3.062773851992968
1.721,-3.08296877464384
1.7227000000000001,-3.103298666083588
1.7244,-3.1237645699362373
1.7261,-3.1443675436510805
1.7278,-3.1651086588708495
1.7295,-3.1859890018134878
1.7312,-3.2070096736681784
1.7329,-3.228171791006094
1.7346,-3.249476486206534
1.7363,-3.2709249078990306
1.738,-3.2925182214220747
1.7397,-3.3142576092991143
1.7414,-3.3361442717325533
1.7431,-3.358179427116461
1.7448000000000001,-3.380364312568689
1.7465,-3.402700184483274
1.7482,-3.4251883191038863
1.7499,-3.4478300131191286
1.7516,-3.470626584280679
1.7533,-3.49357937204507
1.755,-3.5166897382401534
1.7567,-3.53995906775718
1.7584,-3.5633887692695625
1.7601,-3.5869802759793417
1.7618,-3.6107350463925685
1.7635,-3.6346545651246194
1.7652,-3.65874034373679
1.7669000000000001,-3.6829939216053225
1.7686,-3.7074168668241994
1.7703,-3.732010777143078
1.772,-3.756777280941716
1.7737,-3.7817180382424054
1.7754,-3.806834741761886
1.7771,-3.8321291180043464
1.7788,-3.857602928397121
1.7805,-3.883257970470794
1.7822,-3.9090960790854723
1.7839,-3.935119127705069
1.7856,-3.9613290297214454
1.7873,-3.98772773983046
1.7890000000000001,-4.014317255461894
1.7907,-4.041099618265422
1.7924,-4.068076915654814
1.7941,-4.095251282412588
1.7958,-4.122624902357579
1.7975,-4.150200010077803
1.7992,-4.17797889273112
1.8009,-4.205963891916405
1.8026,-4.2341574056178395
1.8043,-4.262561890225218
1.806,-4.291179862633115
1.8077,-4.320013902421943
1.8094000000000001,-4.349066654123979
1.8111000000000002,-4.378340829577583
1.8128,-4.407839210372925
1.8145,-4.437564650392582
1.8162,-4.467520078450604
1.8179,-4.497708501033594
1.8195999999999999,-4.528133005147623
1.8213,-4.558796761274774
1.823,-4.589703026443283
1.8247,-4.620855147415377
1.8264,-4.652256563996998
1.8281,-4.683910812473641
1.8298,-4.715821529176853
1.8315000000000001,-4.747992454185742
1.8332000000000002,-4.780427435168303
1.8349,-4.813130431367144
1.8366,-4.84610551773457
1.8383,-4.879356889221897
1.84,-4.912888865228054
1.8417,-4.9467058942126485
1.8434,-4.980812558478669
1.8451,-5.015213579130097
1.8468,-5.049913821209931
1.8485,-5.084918299023911
1.8502,-5.120232181655552
1.8519,-5.155860798677971
1.8536000000000001,-5.191809646068133
1.8553,-5.228084392329057
1.857,-5.264690884825621
1.8587,-5.301635156339576
1.8604,-5.338923431849296
1.8621,-5.3765621355397695
1.8638,-5.414557898048372
1.8655,-5.452917563951675
1.8672,-5.491648199498536
1.8689,-5.530757100594642
1.8706,-5.570251801043337
1.8723,-5.610140081047492
1.874,-5.650429975976866
1.8757000000000001,-5.691129785405121
1.8774,-5.732248082420415
1.8791,-5.773793723213075
1.8808,-5.81577585694337
1.8825,-5.858203935892191
1.8842,-5.901087725896625
1.8859,-5.944437317072186
1.8876,-5.988263134822588
1.8893,-6.03257595113742
1.891,-6.077386896177369
1.8927,-6.122707470145792
1.8944,-6.1685495554446135
1.8961000000000001,-6.21492542911168
1.8978000000000002,-6.261847775535624
1.8995,-6.309329699443311
1.9012,-6.357384739153944
1.9029,-6.406026880092467
1.9046,-6.45527056855401
1.9063,-6.505130725709613
1.908,-6.555622761842176
1.9097,-6.606762590800286
1.9114,-6.6585666446559575
1.9131,-6.711051888551066
1.9148,-6.764235835715571
1.9165,-6.818136562639214
1.9182000000000001,-6.872772724376851
1.9199000000000002,-6.928163569965945
1.9216,-6.984328957933485
1.9233,-7.041289371867951
1.925,-7.099065936030609
1.9267,-7.1576804309793385
1.9284,-7.2171553091767215
1.9301,-7.2775137105534675
1.9318,-7.338779477997079
1.9335,-7.400977172735471
1.9352,-7.4641320895846075
1.9369,-7.528270272029424
1.9386,-7.59341852710759
1.9403000000000001,-7.659604440066532
1.9420000000000002,-7.726856388765286
1.9437,-7.795203557794693
1.9454,-7.864675952291823
1.9471,-7.935304411427459
1.9488,-8.007120621549614
1.9505,-8.08015712897046
1.9522,-8.154447352389719
1.9539,-8.230025594954048
1.9556,-8.306927055959797
1.9573,-8.385187842214972
1.959,-8.464844979086553
1.9607,-8.545936421270483
1.9624000000000001,-8.628501063334452
1.9641,-8.71257875009799
1.9658,-8.79821028693007
1.9675,-8.885437450061907
1.9692,-8.974302997032213
1.97,-9.016701421879633
1.9709,-9.064850677402806
1.9726,-9.15712524390578
1.9743,-9.251172464208189
1.976,-9.347039133507106
1.9777,-9.44477308819711
1.9794,-9.544423220883214
1.9811,-9.646039497045614
1.9828000000000001,-9.749672973698276
1.9845000000000002,-9.855375820421132
1.9862,-9.963201343186011
1.9879,-10.073204011438953
1.9896,-10.18543948894671
1.9913,-10.299964668963197
1.993,-10.416837714321936
1.9947,-10.53611810311411
1.9964,-10.657866680668455
1.9981,-10.782145718608723
1.9998,-10.909018981828794
2.0015,-11.03855180429246
2.0032,-11.170811174637727
2.0049,-11.305865832642603
2.0066,-11.443786377693241
2.0083,-11.584645390484978
2.01,-11.72851756928545
2.0117000000000003,-11.875479882196199
2.0134,-12.025611736966153
2.0151,-12.178995170043198
2.0168,-12.33571505669117
2.0185,-12.495859344165048
2.0202,-12.659519310116128
2.0219,-12.826789848604195
2.0236,-12.997769786325133
2.0253,-13.172562231924367
2.027,-13.351274961565123
2.0287,-13.534020844261622
2.0304,-13.720918310875618
2.0321,-13.912091871121737
2.0338000000000003,-14.107672683437347
2.0355,-14.307799183158492
2.0372,-14.512617775119823
2.0389,-14.722283597565662
2.0406,-14.936961365153001
2.0423,-15.156826299845147
2.044,-15.382065159668697
2.0457,-15.612877376650893
2.0474,-15.849476316794227
2.0491,-16.092090676705265
2.0508,-16.34096603349956
2.0525,-16.5963665668786
2.0542,-16.85857697483997
2.0559000000000003,-17.127904607350693
2.0576,-17.40468184548221
2.0593,-17.6892687569556
2.061,-17.98205606268826
2.0627,-18.283468452651974
2.0644,-18.59396829286624
2.0661,-18.914059768242343
2.0678,-19.244293507527534
2.0695,-19.585271735605094
2.0712,-19.937653992987837
2.0729,-20.302163449483754
2.0746,-20.679593813897064
2.0763,-21.07081679659498
2.0780000000000003,-21.476790004601213
2.0797,-21.89856502001579
2.0814,-22.337295200623693
2.0831,-22.794242395852876
2.0848,-23.270781209688195
2.0865,-23.76839853102871
2.0882,-24.288684573123945
2.0899,-24.833309260949076
2.0916,-25.403973900030266
2.0933,-26.002321724678986
2.095,-26.629780713790822
