freq_GHz_serpentine,Sdd11_dB_serpentine,freq_GHz_zwave,Sdd11_dB_zwave
1.8,-2.585344357467436,1.5,-1.8577107586365855
1.8014000000000001,-2.593993201798765,1.5017,-1.866926284313276
1.8028,-2.6027020572773534,1.5034,-1.8761885796284758
1.8042,-2.611471107573251,1.5051,-1.885497681411338
1.8056,-2.6203005350098447,1.5068,-1.8948536234878512
1.807,-2.6291905205380357,1.5085,-1.9042564366149461
1.8084,-2.638141243710277,1.5102,-1.9137061484140916
1.8098,-2.647152882654513,1.5119,-1.923202783304347
1.8112000000000001,-2.656225614048039,1.5136,-1.9327463624349273
1.8126,-2.6653596130912467,1.5153,-1.9423369036172444
1.814,-2.6745550534812903,1.517,-1.9519744212564456
1.8154000000000001,-2.683812107385653,1.5187,-1.9616589262824593
1.8168,-2.693130945415617,1.5204,-1.9713904260805188
1.8182,-2.702511736599668,1.5221,-1.9811689244212314
1.8196,-2.7119546483567984,1.5238,-1.9909944213901278
1.821,-2.7214598464697253,1.5255,-2.000866913316738
1.8224,-2.731027495058041,1.5272000000000001,-2.0107863927031975
1.8238,-2.740657756551274,1.5289,-2.0207528481523758
1.8252000000000002,-2.750350791661871,1.5306,-2.0307662642955417
1.8266,-2.7601067593581203,1.5323,-2.0408266217195496
1.828,-2.769925816836984,1.534,-2.0509338968936017
1.8294000000000001,-2.779808119496871,1.5357,-2.061088062095523
1.8308,-2.7897538209103367,1.5374,-2.071289085337617
1.8322,-2.79976307279672,1.5391,-2.0815369302920956
1.8336000000000001,-2.8098360249947065,1.5408,-2.0918315562160363
1.835,-2.819972825434836,1.5425,-2.1021729178759445
1.8364,-2.8301736201119674,1.5442,-2.1125609654719044
1.8378,-2.840438553057637,1.5459,-2.122995644561297
1.8392,-2.850767766312405,1.5476,-2.133476895982117
1.8406,-2.8611613998981285,1.5493,-2.1440046557759307
1.842,-2.8716195917901888,1.551,-2.154578855110381
1.8434000000000001,-2.882142477889648,1.5527,-2.1651994202013918
1.8448,-2.892730191995372,1.5544,-2.1758662722349267
1.8462,-2.903382865776125,1.5561,-2.18657932728844
1.8476000000000001,-2.91410062874256,1.5578,-2.1973384962519567
1.849,-2.9248836082192127,1.5595,-2.2081436847488174
1.8504,-2.9357319293164474,1.5612,-2.2189947930560736
1.8518000000000001,-2.946645714902343,1.5629,-2.229891716024607
1.8532,-2.9576250855745476,1.5646,-2.2408343429988946
