design,strain_pct,f0_GHz,S11_min_dB,delta_f_pct
Flat control,0.0,2.62,-20.451174235604643,0.0
Flat control,5.0,2.56,-23.635240781681382,-2.2900763358778646
Flat control,10.0,2.46,-36.87738332376589,-6.106870229007638
Flat control,15.0,2.404,-37.3579583894099,-8.244274809160313
Flat control,20.0,2.348,-27.733926261981956,-10.381679389312986
Z-wave,0.0,2.174,-26.438136146191415,0.0
Z-wave,5.0,2.14,-35.763746844723535,-1.5639374425022912
Z-wave,10.0,2.0700000000000003,-27.465472184077704,-4.7838086476540775
Z-wave,15.0,2.04,-23.625604333011275,-6.163753449862001
Z-wave,20.0,2.004,-20.457490868092375,-7.8196872125114965
