freq_GHz,S11_dB
1.5,-0.35893388049301816
1.502,-0.3610033773782603
1.504,-0.3630800636734944
1.506,-0.3651641062938477
1.508,-0.36725567318907826
1.51,-0.3693549333552192
1.512,-0.37146205684649797
1.514,-0.37357721478737366
1.516,-0.3757005793848723
1.518,-0.37783232394116456
1.52,-0.3799726228661024
1.522,-0.38212165169046797
1.524,-0.3842795870788669
1.526,-0.38644660684325804
1.528,-0.38862288995655736
1.53,-0.3908086165665382
1.532,-0.39300396800974535
1.534,-0.3952091268259721
1.536,-0.39742427677266773
1.538,-0.39964960283982176
1.54,-0.4018852912648485
1.542,-0.40413152954787873
1.544,-0.40638850646739244
1.546,-0.40865641209565073
1.548,-0.4109354378149566
1.55,-0.41322577633378677
1.552,-0.4155276217030779
1.554,-0.41784116933330473
1.556,-0.4201666160113129
1.558,-0.42250415991740486
1.56,-0.4248540006430218
1.562,-0.4272163392085375
1.564,-0.42959137808122416
1.566,-0.4319793211935211
1.568,-0.4343803739618313
1.57,-0.43679474330492046
1.572,-0.43922263766369596
1.574,-0.4416642670200397
1.576,-0.4441198429167885
1.578,-0.4465895784778156
1.58,-0.44907368842807965
1.582,-0.45157238911422026
1.584,-0.45408589852566883
1.586,-0.4566144363155231
1.588,-0.4591582238223752
1.59,-0.4617174840917721
1.592,-0.4642924418983157
1.594,-0.4668833237683407
1.596,-0.46949035800258254
1.598,-0.4721137746989093
1.6,-0.4747538057761172
1.602,-0.4774106849974692
1.604,-0.4800846479947868
1.606,-0.48277593229258814
1.608,-0.48548477733323636
1.61,-0.4882114245016742
1.612,-0.4909561171510005
1.614,-0.493719100628377
1.616,-0.4965006223006494
1.618,-0.4993009315816592
1.62,-0.5021202799583262
1.6219999999999999,-0.504958921018392
1.624,-0.5078171104778398
1.626,-0.5106951062089438
1.6280000000000001,-0.5135931682686382
1.63,-0.5165115589275823
1.6320000000000001,-0.5194505426985653
1.634,-0.5224103863672006
1.6360000000000001,-0.5253913590208076
1.638,-0.5283937320797573
1.6400000000000001,-0.5314177793276565
1.642,-0.5344637769427597
1.6440000000000001,-0.5375320035298605
1.646,-0.5406227401522333
1.648,-0.5437362703640604
1.65,-0.5468728802435412
1.652,-0.5500328584265426
1.654,-0.553216496140111
1.656,-0.5564240872372532
1.658,-0.5596559282312055
1.66,-0.562912318331616
1.662,-0.5661935594794747
1.664,-0.5694999563838614
1.666,-0.5728318165586259
1.668,-0.5761894503598496
1.67,-0.579573171023371
1.672,-0.5829832947030268
1.674,-0.5864201405099625
1.676,-0.5898840305516735
1.678,-0.5933752899717092
1.68,-0.5968942469906655
1.682,-0.6004412329465495
1.684,-0.6040165823371585
1.686,-0.6076206328611836
1.688,-0.611253725461961
1.69,-0.6149162043698455
1.692,-0.6186084171468607
1.694,-0.6223307147305687
1.696,-0.6260834514796648
1.698,-0.6298669852193094
1.7,-0.6336816772875385
1.702,-0.6375278925825522
1.704,-0.6414059996099228
1.706,-0.6453163705308083
1.708,-0.6492593812115982
1.71,-0.6532354112724585
1.712,-0.6572448441383572
1.714,-0.6612880670899713
1.716,-0.6653654713149891
1.718,-0.6694774519607981
1.72,-0.6736244081874752
1.722,-0.6778067432215182
1.724,-0.6820248644107335
1.726,-0.6862791832790935
1.728,-0.6905701155831862
1.73,-0.694898081369002
1.732,-0.6992635050292431
1.734,-0.7036668153623759
1.736,-0.7081084456311958
1.738,-0.7125888336234272
1.74,-0.7171084217121854
1.742,-0.7216676569179271
1.744,-0.726266990971175
1.746,-0.7309068803754943
1.748,-0.7355877864723681
1.75,-0.7403101755059205
1.752,-0.7450745186894069
1.754,-0.7498812922721209
1.756,-0.7547309776072231
1.758,-0.7596240612208321
1.76,-0.7645610348818775
1.762,-0.7695423956729543
1.764,-0.7745686460619354
1.766,-0.7796402939750531
1.768,-0.7847578528706699
1.77,-0.7899218418140485
1.772,-0.79513278555353
