freq_GHz_auto,S11_dB_auto,freq_GHz_manual,S11_dB_manual
0.35603,-1.565,0.4383861127251598,0.06601466992665195
0.36587,-1.561,1.738756536897153,-0.08801955990220023
0.37572,-1.559,1.7527019174898313,-0.5501222493887532
0.38556,-1.561,1.755026147588611,-1.254278728606355
0.39541,-1.564,1.7596746077861707,-1.9364303178484086
1.52754,-1.863,1.7712957582800697,-2.354523227383863
1.53739,-1.94,1.7991865194654268,-2.9486552567237165
1.54723,-2.009,1.8479953515398022,-2.9706601466992666
1.55708,-2.09,1.8875072632190588,-3.168704156479217
1.56692,-3.613,1.9061011040092968,-3.454767726161368
1.57677,-3.73,1.9432887855897731,-3.56479217603912
1.58661,-3.843,1.9897733875653691,-3.6968215158924203
1.59646,-3.915,2.019988378849506,-4.026894865525671
1.6063,-4.293,2.0432306798373037,-4.577017114914424
1.61615,-4.407,2.061824520627542,-5.061124694376527
1.62599,-4.478,2.0780941313190007,-5.56723716381418
1.8918,-5.851,2.0966879721092386,-6.029339853300733
1.90164,-5.944,2.1013364323067982,-6.5354523227383865
1.91148,-6.055,2.1199302730970366,-7.04156479217604
1.92133,-6.197,2.1408483439860544,-7.635696821515893
1.93117,-6.341,2.157117954677513,-7.987775061124694
1.94102,-6.529,2.180360255665311,-8.295843520782396
1.95086,-6.745,2.198954096455549,-8.053789731051344
1.96071,-7.011,2.2012783265543288,-7.723716381418093
1.97055,-7.341,2.2128994770482278,-7.459657701711491
1.9804,-7.5,2.2291690877396864,-7.23960880195599
1.99024,-7.637,2.2593840790238233,-7.3716381418092904
2.00009,-8.344,2.2803021499128415,-7.569682151589241
2.00993,-8.449,2.29424753050552,-7.965770171149144
2.01978,-8.73,2.3081929110981987,-8.449877750611247
2.02962,-8.895,2.329110981987217,-9.02200488997555
2.03947,-9.049,2.345380592678675,-9.528117359413203
2.04931,-9.252,2.3639744334689134,-10.122249388753055
2.05915,-9.436,2.389540964555491,-10.47432762836186
2.069,-9.551,2.4337013364323066,-10.60635696821516
2.07884,-9.624,2.452295177222545,-11.112469437652813
2.08869,-9.665,2.461592097617664,-11.530562347188264
2.09853,-9.69,2.4732132481115627,-11.838630806845966
2.10838,-9.689,2.491807088901801,-12.102689486552567
2.11822,-9.64,2.5173736199883785,-11.926650366748166
2.12807,-9.568,2.535967460778617,-11.794621026894866
2.13791,-9.48,2.5545613015688553,-12.124694376528117
2.1576,-9.147,2.5685066821615337,-12.498777506112468
2.16745,-9.092,2.577803602556653,-13.004889975550121
2.17729,-9.095,2.5917489831493317,-13.400977995110024
2.18714,-9.124,2.6126670540383494,-13.709046454767726
2.19698,-9.182,2.6242882045322484,-13.290953545232274
2.20682,-9.257,2.631260894828588,-12.87286063569682
2.21667,-9.332,2.6382335851249272,-12.366748166259168
2.22651,-9.412,2.642882045322487,-11.838630806845966
2.23636,-9.557,2.6475305055200464,-11.332518337408313
2.2462,-9.759,2.654503195816386,-10.76039119804401
2.25605,-9.926,2.6638001162115046,-10.188264058679707
2.26589,-10.134,2.670772806507844,-9.418092909535453
2.27574,-10.439,2.6754212667054036,-8.84596577017115
2.28558,-10.812,2.691690877396862,-8.251833740831296
2.29543,-10.962,2.7079604880883203,-7.635696821515893
2.30527,-11.102,2.7288785589773386,-7.28361858190709
2.31512,-11.391,2.763742010459035,-7.15158924205379
2.32496,-11.557,2.7962812318419523,-7.23960880195599
2.33481,-11.708,2.8125508425334105,-7.547677261613691
2.34465,-11.846,2.8357931435212085,-7.811735941320293
2.35449,-11.98,2.859035444509006,-7.899755501222494
2.36434,-12.127,2.8753050552004646,-7.723716381418093
2.37418,-12.208,2.893898895990703,-7.3716381418092904
2.38403,-12.254,2.903195816385822,-6.997555012224938
2.39387,-12.303,2.92643811737362,-6.579462102689487
2.40372,-12.395,2.945031958163858,-6.227383863080684
2.41356,-12.526,2.9589773387565366,-5.831295843520781
2.42341,-12.71,2.986868099941894,-5.52322738386308
2.43325,-12.873,3.0124346310284715,-5.237163814180928
2.4431,-13.096,3.040325392213829,-5.083129584352077
2.45294,-13.257,3.0914584543869843,-5.083129584352077
2.46279,-13.38,3.168158047646717,-5.1051344743276275
2.47263,-13.468,3.198373038930854,-5.149144254278728
2.48248,-13.552,3.228588030214991,-4.973105134474327
2.49232,-13.613,3.2936664729808247,-4.973105134474327
2.54154,-13.7,3.3192330040674025,-4.488997555012224
2.55139,-13.735,3.3331783846600813,-4.202933985330073
2.56123,-13.808,3.3494479953515395,-4.114914425427873
2.57108,-13.949,3.365717606042998,-3.8508557457212707
2.58092,-14.109,3.4052295177222542,-3.52078239608802
2.59077,-14.3,3.419174898314933,-3.916870415647921
2.60061,-14.539,3.4238233585124926,-4.466992665036674
2.61046,-14.661,3.44706565950029,-4.180929095354523
2.6203,-14.725,3.470307960488088,-3.8508557457212707
2.66952,-14.46,3.4958744915746656,-3.58679706601467
2.67937,-13.818,3.526089482858803,-3.190709046454767
2.68921,-13.184,3.542359093550261,-2.8386308068459645
2.69906,-11.991,3.5702498547356187,-2.596577017114914
2.7089,-11.303,3.6051133062173153,-2.244498777506111
2.71875,-10.952,3.6330040674026725,-1.9144254278728603
2.72859,-10.851,3.674840209180709,-1.716381418092908
2.73844,-9.998,3.725973271353864,-1.5843520782396077
2.74828,-9.846,3.7794305636257985,-1.4523227383863073
2.75813,-9.621,3.8235909355026148,-1.2762836185819069
2.76797,-9.462,3.87239976757699,-1.1222493887530547
2.77782,-9.207,3.9258570598489246,-1.0782396088019546
2.89595,-9.265,3.997908192911098,-0.9902200488997543
2.9058,-9.356,4.039744334689134,-1.1442542787286065
2.96486,-9.399,4.060662405578152,-0.9902200488997543
2.97471,-9.336,4.100174317257409,-1.1882640586797066
2.98455,-9.312,4.155955839628123,-1.1882640586797066
2.9944,-9.183,4.223358512492736,-1.210268948655255
3.00424,-9.007,4.276815804764672,-1.2322738386308068
3.01409,-8.675,4.325624636839047,-1.210268948655255
3.02393,-8.533,4.381406159209762,-1.210268948655255
3.03378,-8.49,,
3.04362,-7.995,,
3.05347,-7.866,,
3.06331,-7.777,,
3.07316,-7.705,,
3.40787,-6.677,,
3.41772,-6.664,,
3.42756,-6.668,,
3.46694,-6.673,,
3.47679,-6.659,,
3.48663,-6.647,,
3.49648,-6.615,,
3.52601,-6.329,,
3.53585,-6.247,,
3.62446,-5.487,,
3.6343,-5.477,,
3.64415,-5.424,,
3.65399,-5.432,,
3.66383,-5.838,,
3.67368,-5.873,,
3.68352,-5.874,,
3.69337,-5.857,,
3.70321,-5.806,,
3.78197,-5.081,,
3.79182,-4.99,,
3.83119,0.049,,
3.84104,-0.019,,
3.85088,-0.088,,
3.86073,-0.124,,
3.87057,-0.121,,
3.88042,-0.123,,
3.89026,-0.126,,
3.90011,-0.143,,
3.90995,-0.166,,
3.9198,-0.201,,
3.92964,-0.229,,
3.93949,-0.235,,
3.94933,-0.24,,
