freq_GHz,S11_dB_digitised
0.00497,-18.465
0.00986,-17.791
0.01475,-17.753
0.01963,-17.753
0.02452,-17.599
0.02941,-17.368
0.0343,-17.156
0.03919,-15.962
0.04408,-15.885
0.04897,-15.885
0.10274,-12.112
0.1223,-10.283
0.12719,-10.283
0.13207,-10.148
0.13696,-10.013
0.14185,-9.763
0.14674,-9.243
0.15163,-8.377
0.15652,-8.088
0.16141,-8.05
0.1663,-7.761
0.17118,-7.491
0.17607,-7.433
0.18096,-7.164
0.18585,-6.971
0.19074,-6.298
0.19563,-6.009
0.20052,-5.701
0.20541,-4.873
0.21029,-4.815
0.21518,-4.661
0.22007,-4.623
0.22496,-3.698
0.22985,-3.621
0.23474,-3.602
0.23963,-3.467
0.24452,-2.948
0.2494,-2.89
0.25429,-2.832
1.99957,-5.547
2.00446,-5.585
2.00934,-5.662
2.01423,-5.72
2.01912,-5.778
2.02401,-5.835
2.0289,-5.99
2.03379,-6.317
2.03868,-6.432
2.04357,-6.509
2.04845,-6.625
2.05334,-6.721
2.05823,-6.875
2.06312,-7.106
2.06801,-7.279
2.0729,-7.51
2.07779,-7.703
2.08268,-7.838
2.08756,-8.088
2.09245,-8.146
2.09734,-8.146
2.10223,-8.454
2.10712,-8.531
2.11201,-8.569
2.1169,-8.608
2.12179,-8.646
2.12667,-8.685
2.13156,-8.704
2.13645,-8.723
2.14134,-8.723
2.26845,-8.281
2.27334,-8.319
2.27822,-8.473
2.288,-8.743
2.29289,-8.974
2.29778,-9.031
2.30267,-9.089
2.30756,-9.147
2.31245,-9.243
2.31733,-9.339
2.32222,-9.513
2.32711,-9.628
2.332,-9.705
2.33689,-9.744
2.34178,-9.821
2.34667,-9.898
2.35156,-10.013
2.35644,-10.148
2.36133,-10.264
2.36622,-10.302
2.37111,-10.418
2.376,-10.418
2.38089,-10.495
2.38578,-10.533
2.39067,-10.533
2.40044,-10.764
2.40533,-10.803
2.41022,-10.783
2.41511,-10.88
2.42,-11.053
2.42489,-11.149
2.42977,-11.246
2.43466,-11.246
2.43955,-11.303
2.44444,-11.38
2.44933,-11.4
2.45422,-11.592
2.45911,-11.785
2.464,-11.804
2.46888,-11.9
2.65954,-11.13
2.66443,-11.149
2.66932,-11.091
2.67421,-10.783
2.6791,-10.61
2.68399,-10.552
2.68888,-10.167
2.69377,-9.994
2.69865,-9.879
2.70354,-9.898
2.70843,-9.879
2.7231,-8.916
2.72799,-8.877
2.73288,-8.82
2.73776,-8.781
3.79373,-0.117
3.79862,-0.156
3.80351,-0.194
3.8084,-0.233
3.81328,-0.252
3.81817,-0.252
3.82306,-0.271
3.82795,-0.271
3.83284,-0.271
3.83773,-0.271
3.84262,-0.291
3.8475,-0.291
3.85239,-0.291
3.85728,-0.291
3.86217,-0.291
3.86706,-0.291
3.87195,-0.31
3.87684,-0.31
3.88173,-0.31
3.88661,-0.31
3.8915,-0.291
3.89639,-0.291
3.90128,-0.291
3.90617,-0.31
3.91106,-0.31
3.91595,-0.31
3.92084,-0.291
3.92572,-0.291
3.93061,-0.291
3.9355,-0.291
3.94039,-0.271
3.94528,-0.252
3.95017,-0.252
3.95506,-0.252
3.95995,-0.252
3.96483,-0.252
3.96972,-0.252
3.97461,-0.271
3.9795,-0.271
3.98439,-0.271
3.98928,-0.271
3.99417,-0.252
3.99906,-0.252
4.00394,-0.233
4.00883,-0.233
4.01372,-0.137
4.03328,-0.117
4.03817,-0.175
4.04305,-0.194
4.04794,-0.233
4.05283,-0.252
4.05772,-0.252
4.06261,-0.271
4.0675,-0.291
4.07239,-0.291
4.07727,-0.291
4.08216,-0.291
4.08705,-0.291
4.09194,-0.291
4.09683,-0.291
4.10172,-0.291
4.10661,-0.291
4.1115,-0.271
4.11638,-0.271
4.12127,-0.252
4.12616,-0.252
4.13105,-0.252
4.13594,-0.252
4.14083,-0.252
4.14572,-0.252
4.15061,-0.252
4.15549,-0.252
4.16038,-0.252
4.16527,-0.252
4.17016,-0.233
4.17505,-0.233
4.17994,-0.233
4.18483,-0.233
4.18972,-0.233
4.1946,-0.233
4.19949,-0.233
4.20438,-0.233
4.20927,-0.214
4.21416,-0.194
4.21905,-0.175
