freq_GHz,S11_dB_digitised
2.00342,-5.74
2.00828,-5.932
2.01314,-5.989
2.018,-6.085
2.02286,-6.278
2.02772,-6.354
2.03258,-6.47
2.03744,-6.681
2.0423,-6.989
2.04715,-7.065
2.05201,-7.065
2.05687,-7.969
2.06173,-7.969
2.06659,-8.18
2.07145,-8.314
2.07631,-8.43
2.08117,-8.641
2.08603,-8.872
2.09089,-9.006
2.09575,-9.16
2.13462,-9.679
2.13948,-9.717
2.14434,-9.717
2.1492,-9.717
2.20751,-9.294
2.21237,-9.275
2.21723,-9.275
2.22209,-9.314
2.22695,-9.333
2.23181,-9.333
2.23667,-9.352
2.24153,-9.371
2.24639,-9.371
2.25125,-9.41
2.26582,-9.833
2.27068,-10.005
2.27554,-10.121
2.2804,-10.236
2.28526,-10.428
2.29012,-10.659
2.29498,-10.813
2.29984,-10.966
2.3047,-11.139
2.30956,-11.351
2.31442,-11.658
2.31928,-11.927
2.32414,-12.081
2.32899,-12.254
2.33385,-12.427
2.33871,-12.58
2.34357,-12.715
2.34843,-12.83
2.35329,-12.849
2.38731,-13.349
2.39217,-13.387
2.39702,-13.407
2.40188,-13.445
2.40674,-13.945
2.4116,-14.195
2.41646,-14.233
2.42132,-14.252
2.42618,-14.271
2.43104,-14.329
2.4359,-14.598
2.44076,-14.694
2.44562,-14.79
2.45048,-14.848
2.45534,-14.905
2.4602,-14.886
2.46505,-14.848
2.46991,-14.829
2.47477,-14.771
2.47963,-14.733
2.48449,-14.598
2.48935,-14.56
2.49421,-14.521
2.49907,-14.502
2.50393,-14.502
2.50879,-14.444
2.52823,-14.464
2.53309,-14.54
2.53794,-14.617
2.5428,-14.656
2.54766,-14.733
2.55252,-14.848
2.55738,-14.944
2.56224,-15.021
2.5671,-15.136
2.57196,-15.251
2.63027,-15.271
2.64485,-14.06
2.64971,-14.118
2.65457,-14.041
2.66429,-13.272
2.66915,-13.099
2.67401,-12.965
2.67886,-12.849
2.68372,-12.35
2.68858,-12.254
2.69344,-12.023
2.6983,-11.85
2.70316,-11.677
2.70802,-11.351
2.71288,-11.254
2.71774,-11.158
2.7226,-11.024
2.72746,-10.851
2.73232,-10.678
2.73718,-10.524
2.74204,-10.351
2.74689,-10.274
2.75175,-10.198
2.75661,-10.102
2.90725,-10.063
2.91211,-10.063
2.96556,-9.756
2.97042,-9.756
3.00444,-9.025
3.0093,-8.968
3.01416,-8.91
3.01902,-8.833
3.02388,-8.622
3.02873,-8.584
3.03359,-8.526
3.03845,-8.487
3.04331,-8.468
3.04817,-8.372
3.81108,-0.148
3.81594,-0.186
3.8208,-0.225
3.82566,-0.244
3.83052,-0.263
3.83538,-0.263
3.84024,-0.282
3.8451,-0.282
3.84996,-0.282
3.85482,-0.301
3.85968,-0.301
3.86454,-0.321
3.86939,-0.321
3.87425,-0.321
3.87911,-0.321
3.88397,-0.321
3.88883,-0.321
3.89369,-0.321
3.89855,-0.321
3.90341,-0.34
3.90827,-0.34
3.91313,-0.34
3.91799,-0.34
3.92285,-0.34
3.92771,-0.359
3.93257,-0.359
3.93742,-0.34
3.94228,-0.321
3.94714,-0.34
3.952,-0.34
3.95686,-0.301
3.96172,-0.282
3.96658,-0.282
3.97144,-0.282
3.9763,-0.282
3.98116,-0.282
3.98602,-0.301
3.99088,-0.301
3.99574,-0.301
4.0006,-0.301
4.00545,-0.301
4.01031,-0.301
4.01517,-0.282
4.02003,-0.263
4.02489,-0.244
4.02975,-0.263
4.03461,-0.34
4.05405,-0.282
4.05891,-0.244
4.06377,-0.263
4.06863,-0.263
4.07349,-0.282
4.07834,-0.301
4.0832,-0.321
4.08806,-0.321
4.09292,-0.321
4.09778,-0.34
4.10264,-0.34
4.1075,-0.34
4.11236,-0.34
4.11722,-0.321
4.12208,-0.301
4.12694,-0.301
4.1318,-0.301
4.13666,-0.301
4.14152,-0.301
4.14637,-0.301
4.15123,-0.301
4.15609,-0.301
4.16095,-0.301
4.16581,-0.301
4.17067,-0.301
4.17553,-0.301
4.18039,-0.282
4.18525,-0.282
4.19011,-0.282
4.19497,-0.282
4.19983,-0.282
4.20469,-0.282
4.20955,-0.282
4.21441,-0.282
4.21926,-0.282
4.22412,-0.263
4.22898,-0.282
4.23384,-0.301
