freq_GHz,S11_dB_digitised
0.09581,-7.858
0.1007,-7.544
0.10558,-7.406
0.11046,-7.248
0.11535,-7.17
0.12023,-7.012
0.12511,-6.796
0.13,-6.383
0.13488,-5.989
0.13976,-5.576
0.14465,-5.163
0.14953,-5.006
0.15441,-4.632
0.1593,-4.022
0.16418,-3.609
0.16906,-3.373
0.17395,-3.254
0.17883,-3.018
0.18371,-2.645
0.1886,-2.487
0.19348,-2.212
0.19836,-1.799
0.20325,-1.72
0.20813,-1.661
0.21301,-1.7
1.39476,-2.507
1.39964,-2.487
1.40453,-2.507
1.40941,-2.527
1.41429,-2.527
1.41918,-2.566
1.42406,-2.605
1.42894,-2.625
1.43383,-2.645
1.43871,-2.664
1.44359,-2.684
1.44848,-2.704
1.45336,-2.723
1.45824,-2.723
1.66822,-3.136
1.67311,-3.176
1.67799,-3.215
1.68287,-3.254
1.68776,-3.333
1.69264,-3.353
1.95633,-5.36
1.96122,-5.399
1.9661,-5.34
1.97098,-5.419
1.97587,-5.576
1.98075,-5.694
1.98563,-5.773
1.99052,-5.832
1.9954,-5.891
2.00028,-5.989
2.00517,-6.048
2.01005,-6.107
2.01493,-6.186
2.01982,-6.284
2.0247,-6.343
2.02958,-6.363
2.03447,-7.189
2.03935,-7.327
2.04423,-7.386
2.04912,-7.465
2.054,-7.544
2.05888,-7.642
2.06377,-7.799
2.06865,-7.976
2.07353,-8.075
2.07842,-8.134
2.0833,-8.193
2.08818,-8.272
2.09307,-8.35
2.09795,-8.449
2.10283,-8.567
2.10772,-8.665
2.1126,-8.704
2.11748,-8.724
2.12237,-8.783
2.12725,-8.901
2.13213,-8.94
2.13701,-8.96
2.1419,-8.98
2.14678,-8.98
2.21026,-9.098
2.21515,-9.118
2.22003,-9.118
2.22491,-9.157
2.2298,-9.236
2.23468,-9.393
2.23956,-9.511
2.24445,-9.649
2.24933,-9.747
2.25421,-9.846
2.2591,-9.905
2.26398,-9.983
2.26886,-10.082
2.27375,-10.141
2.27863,-10.219
2.28351,-10.377
2.2884,-10.436
2.29328,-10.554
2.29816,-10.593
2.34699,-17.932
2.35188,-17.932
2.35676,-17.952
2.39583,-11.262
2.40071,-11.262
2.40559,-11.301
2.41048,-17.971
2.41536,-17.991
2.42513,-11.242
2.43001,-11.242
2.43489,-11.242
2.43978,-11.242
2.44466,-11.223
2.57162,-17.656
2.57651,-17.676
2.64487,-10.18
2.64976,-10.062
2.65464,-9.983
2.65952,-9.924
2.66441,-9.826
2.66929,-9.688
2.67417,-9.59
2.67906,-9.452
2.68394,-9.255
2.68882,-9.196
2.69371,-9.078
2.69859,-9.019
2.70347,-8.96
2.70836,-8.744
2.71324,-8.645
2.71812,-8.606
2.72301,-8.567
2.72789,-8.508
2.73277,-8.468
2.73766,-8.39
2.74254,-8.331
2.74742,-8.291
2.7523,-8.272
2.77672,-7.917
2.88904,-7.583
2.89392,-7.524
2.8988,-7.504
2.90369,-7.485
2.90857,-7.445
2.91345,-7.426
2.91834,-7.347
2.92322,-7.307
2.9281,-7.268
2.93299,-7.268
2.93787,-7.248
3.28946,-5.301
3.78267,0.385
3.78755,0.326
3.79244,0.307
3.79732,0.267
3.8022,0.267
3.80709,0.267
3.81197,0.248
3.81685,0.248
3.82174,0.248
3.82662,0.248
3.8315,0.248
3.83639,0.248
3.84127,0.248
3.84615,0.228
3.85104,0.228
3.85592,0.228
3.8608,0.248
3.86569,0.248
3.87057,0.248
3.87545,0.248
3.88034,0.228
3.88522,0.228
3.8901,0.208
3.89499,0.208
3.89987,0.208
3.90475,0.208
3.90964,0.208
3.91452,0.208
3.9194,0.208
3.92429,0.228
3.92917,0.228
3.93405,0.248
3.93894,0.248
3.94382,0.248
3.9487,0.248
3.95359,0.248
3.95847,0.228
3.96335,0.228
3.96824,0.228
3.97312,0.228
3.978,0.228
3.98289,0.248
3.98777,0.248
3.99265,0.248
3.99753,0.267
4.00242,0.267
4.0073,0.267
4.01218,0.267
4.01707,0.287
4.02195,0.267
4.02683,0.267
4.03172,0.248
4.0366,0.248
4.04148,0.228
4.04637,0.208
4.05125,0.189
4.05613,0.169
4.06102,0.169
4.0659,0.169
4.07078,0.169
4.07567,0.169
4.08055,0.189
4.08543,0.189
4.09032,0.208
4.0952,0.208
4.10008,0.208
4.10497,0.208
4.10985,0.208
4.11473,0.208
4.11962,0.208
4.1245,0.208
4.12938,0.208
4.13427,0.208
4.13915,0.228
4.14403,0.228
4.14892,0.228
4.1538,0.248
4.15868,0.248
4.16357,0.248
4.16845,0.248
4.17333,0.228
4.17822,0.228
4.1831,0.228
4.18798,0.248
4.19286,0.248
4.19775,0.267
4.20263,0.287
4.20751,0.307
4.2124,0.366
4.65189,-4.022
