freq_GHz,S11_dB_digitised
1.71338,-1.585
1.71828,-1.585
1.72319,-3.209
1.72809,-3.267
1.73299,-3.286
2.01244,-5.502
2.01735,-5.598
2.02225,-5.674
2.02715,-5.808
2.03206,-5.98
2.03696,-6.095
2.04186,-6.381
2.04676,-6.553
2.05167,-6.725
2.05657,-6.783
2.06147,-7.604
2.06637,-7.585
2.07128,-7.776
2.07618,-7.834
2.08108,-7.948
2.08598,-8.025
2.09089,-8.197
2.09579,-8.273
2.10069,-8.407
2.1056,-8.579
2.1105,-8.694
2.1154,-8.789
2.1203,-8.808
2.13011,-8.885
2.13501,-8.923
2.13991,-8.923
2.14482,-8.923
2.14972,-8.923
2.15462,-8.923
2.15953,-8.923
2.16443,-8.865
2.25268,-8.541
2.25758,-8.579
2.26248,-8.598
2.26738,-8.636
2.27229,-8.808
2.27719,-8.923
2.28209,-9.076
2.287,-9.171
2.2919,-9.286
2.2968,-9.496
2.3017,-9.783
2.30661,-9.936
2.31151,-10.069
2.31641,-10.184
2.32131,-10.26
2.32622,-10.413
2.33112,-10.643
2.33602,-10.719
2.34093,-10.815
2.34583,-10.91
2.35073,-10.948
2.36054,-17.713
2.36544,-17.713
2.37034,-17.732
2.37524,-17.751
2.38015,-17.77
2.38505,-11.464
2.38995,-11.502
2.39486,-11.502
2.39976,-11.522
2.40466,-11.522
2.40956,-11.617
2.41447,-11.77
2.41937,-11.885
2.42427,-12.018
2.42917,-12.248
2.43408,-12.42
2.43898,-12.439
2.44388,-12.42
2.44878,-12.534
2.45369,-12.611
2.45859,-12.649
2.46349,-12.687
2.53213,-12.974
2.53703,-12.993
2.54194,-13.05
2.54684,-13.146
2.55174,-13.241
2.55664,-13.356
2.56155,-13.452
2.56645,-13.585
2.57135,-13.7
2.57625,-13.776
2.58116,-13.834
2.63999,-13.7
2.6498,-13.127
2.6547,-13.108
2.6596,-12.401
2.6645,-12.42
2.66941,-12.133
2.67431,-11.885
2.67921,-11.216
2.68411,-11.235
2.68902,-11.12
2.69392,-10.528
2.69882,-10.452
2.70373,-10.26
2.70863,-10.222
2.71353,-10.05
2.73314,-9.114
2.73804,-9.133
2.95867,-8.579
2.96357,-8.56
2.96847,-8.522
3.00769,-7.815
3.0126,-7.738
3.59602,-4.642
3.60092,-4.604
3.60582,-4.681
3.61072,-4.738
3.61563,-4.814
3.62053,-4.872
3.62543,-4.929
3.63034,-5.044
3.63524,-5.063
3.64014,-5.12
3.64504,-5.082
3.64995,-5.063
3.80193,0.632
3.80683,0.555
3.81174,0.479
3.81664,0.46
3.82154,0.46
3.82644,0.44
3.83135,0.44
3.83625,0.46
3.84115,0.46
3.84605,0.46
3.85096,0.46
3.85586,0.479
3.86076,0.479
3.86566,0.46
3.87057,0.46
3.87547,0.46
3.88037,0.421
3.88528,0.421
3.89018,0.421
3.89508,0.402
3.89998,0.402
3.90489,0.402
3.90979,0.402
3.91469,0.402
3.91959,0.402
3.9245,0.402
3.9294,0.402
3.9343,0.402
3.93921,0.402
3.94411,0.421
3.94901,0.44
3.95391,0.46
3.95882,0.46
3.96372,0.479
3.96862,0.479
3.97352,0.479
3.97843,0.46
3.98333,0.46
3.98823,0.44
3.99314,0.44
3.99804,0.46
4.00294,0.46
4.00784,0.479
4.01275,0.479
4.01765,0.498
4.02255,0.498
4.02745,0.498
4.04216,0.517
4.04706,0.498
4.05197,0.498
4.05687,0.517
4.06177,0.479
4.06668,0.479
4.07158,0.46
4.07648,0.44
4.08138,0.421
4.08629,0.421
4.09119,0.421
4.09609,0.421
4.10099,0.421
4.1059,0.421
4.1108,0.44
4.1157,0.44
4.12061,0.46
4.12551,0.46
4.13041,0.46
4.13531,0.479
4.14022,0.479
4.14512,0.479
4.15002,0.479
4.15492,0.46
4.15983,0.46
4.16473,0.46
4.16963,0.479
4.17454,0.479
4.17944,0.498
4.18434,0.555
4.18924,0.498
4.19415,0.479
4.19905,0.479
4.20395,0.479
4.20885,0.479
4.21376,0.498
4.21866,0.498
4.22356,0.517
4.22846,0.46
