freq_GHz,S11_dB_digitised
0.02794,-1.497
0.03779,-1.496
0.04765,-1.499
0.05751,-1.501
0.06736,-1.504
0.37292,-1.564
0.38278,-1.584
0.39264,-1.603
0.40249,-1.625
0.41235,-1.639
0.42221,-1.644
0.50106,-1.675
0.51092,-1.696
0.52078,-1.711
0.53063,-1.721
0.54049,-1.729
0.55035,-1.738
0.90519,-2.543
1.35861,-3.343
1.36846,-3.381
1.37832,-3.411
1.38818,-3.442
1.55574,-3.604
1.5656,-3.626
1.57545,-3.658
1.58531,-3.705
1.59517,-3.775
1.60503,-3.849
1.61488,-3.911
1.62474,-3.971
1.87116,-4.93
1.88102,-4.953
1.89087,-5.183
1.90073,-5.288
1.91059,-5.363
1.92044,-5.453
1.9303,-5.571
1.94016,-5.702
1.95001,-5.959
1.95987,-6.225
1.96973,-6.392
1.97958,-6.556
1.98944,-6.746
1.9993,-7.223
2.00915,-7.372
2.01901,-7.484
2.02887,-7.909
2.03872,-8.044
2.04858,-8.242
2.05844,-8.383
2.0683,-8.486
2.07815,-8.559
2.08801,-8.611
2.09787,-8.639
2.10772,-8.622
2.11758,-8.55
2.12744,-8.475
2.13729,-8.369
2.16686,-8.087
2.17672,-8.045
2.18658,-7.995
2.19643,-7.98
2.20629,-8.014
2.21615,-8.09
2.226,-8.171
2.23586,-8.247
2.24572,-8.387
2.25557,-8.618
2.26543,-8.877
2.27529,-9.037
2.28514,-9.116
2.295,-9.235
2.30486,-9.493
2.31472,-9.615
2.32457,-9.72
2.33443,-9.861
2.34429,-10.063
2.35414,-10.183
2.364,-10.304
2.37386,-10.426
2.38371,-10.516
2.39357,-10.602
2.40343,-10.729
2.41328,-10.801
2.42314,-10.952
2.433,-11.092
2.44285,-11.238
2.45271,-11.362
2.46257,-11.581
2.47242,-11.68
2.48228,-11.716
2.49214,-11.692
2.50199,-11.662
2.52171,-11.624
2.53157,-11.632
2.54142,-11.657
2.55128,-11.678
2.56114,-11.716
2.57099,-11.768
2.58085,-11.881
2.59071,-12.021
2.60056,-12.115
2.61042,-12.115
2.66956,-11.13
2.67942,-11.071
2.68927,-10.997
2.69913,-10.502
2.70899,-9.904
2.71884,-9.709
2.7287,-8.915
2.73856,-8.768
2.74841,-8.65
2.75827,-8.262
2.76813,-8.187
2.77799,-8.112
2.8667,-7.919
2.87655,-7.973
2.88641,-8.085
2.89627,-8.267
2.90612,-8.397
2.91598,-8.472
2.92584,-8.509
2.93569,-8.536
2.94555,-8.532
2.98498,-8.192
2.99484,-8.129
3.00469,-8.094
3.01455,-7.747
3.02441,-7.637
3.03426,-7.433
3.04412,-7.272
3.05398,-7.231
3.06383,-7.109
3.07369,-6.977
3.38911,-6.146
3.39896,-6.119
3.40882,-6.085
3.83266,0.098
3.84252,0.068
3.85238,0.042
3.86223,0.029
3.87209,0.017
3.88195,-0.018
3.8918,-0.04
3.90166,-0.055
3.91152,-0.064
3.92137,-0.085
3.93123,-0.098
3.94109,-0.097
3.95095,-0.115
3.9608,-0.13
3.97066,-0.132
3.98052,-0.127
3.99037,-0.088
4.00023,-0.04
4.01009,-0.019
4.01994,-0.01
4.0298,-0.03
4.03966,-0.045
4.04951,-0.052
4.05937,-0.053
4.06923,0.002
4.07908,0.024
4.08894,0.011
4.0988,-0.012
4.10865,-0.032
4.11851,-0.038
4.12837,-0.046
4.13822,-0.053
4.14808,-0.051
4.15794,-0.047
4.1678,-0.036
4.17765,-0.006
4.18751,0.002
4.19737,0.015
4.20722,0.021
4.21708,0.023
4.22694,0.059
4.23679,0.031
4.24665,0.011
4.25651,0.006
4.26636,0.005
4.27622,-0.003
4.28608,-0.013
4.29593,-0.01
4.3945,-3.217
4.40436,-3.24
4.41422,-3.271
