freq_GHz,S11_dB_digitised
0.88754,-2.583
1.36173,-3.572
1.37204,-3.602
1.38235,-3.628
1.39266,-3.653
1.40297,-3.673
1.5576,-3.815
1.5679,-3.895
1.57821,-4.026
1.58852,-4.159
1.59883,-4.262
1.60914,-4.379
1.61945,-4.408
1.805,-5.222
1.86685,-5.434
1.87716,-5.517
1.88747,-5.648
1.89778,-5.756
1.90809,-5.845
1.91839,-6.077
1.9287,-6.27
1.93901,-6.483
1.94932,-6.725
1.95963,-6.985
1.96994,-7.202
1.98025,-7.81
1.99055,-7.942
2.00086,-8.14
2.01117,-8.467
2.02148,-8.695
2.03179,-8.974
2.0421,-9.136
2.0524,-9.329
2.06271,-9.433
2.07302,-9.496
2.08333,-9.552
2.09364,-9.579
2.10395,-9.594
2.11426,-9.586
2.14518,-9.252
2.15549,-9.203
2.1658,-9.197
2.17611,-9.199
2.18642,-9.228
2.19672,-9.264
2.20703,-9.324
2.21734,-9.414
2.22765,-9.629
2.23796,-9.807
2.24827,-10.071
2.25857,-10.276
2.26888,-10.528
2.27919,-10.77
2.2895,-11.057
2.29981,-11.363
2.31012,-11.686
2.32043,-11.959
2.33073,-12.18
2.34104,-12.373
2.35135,-12.492
2.36166,-12.617
2.37197,-12.796
2.38228,-12.938
2.39259,-13.012
2.40289,-13.079
2.4132,-13.165
2.42351,-13.666
2.43382,-13.762
2.44413,-13.964
2.45444,-14.075
2.46475,-14.269
2.47505,-14.393
2.48536,-14.445
2.49567,-14.443
2.50598,-14.363
2.51629,-14.202
2.5266,-14.124
2.5369,-14.064
2.54721,-14.007
2.55752,-14.06
2.56783,-14.166
2.57814,-14.268
2.58845,-14.402
2.59876,-14.634
2.68122,-14.21
2.69153,-12.909
2.70184,-12.745
2.71215,-11.776
2.72246,-11.099
2.73277,-10.866
2.74308,-10.501
2.75338,-10.098
2.76369,-9.971
2.774,-9.786
2.8977,-9.537
2.90801,-9.657
2.91832,-9.743
2.92863,-9.785
2.93894,-9.791
2.94925,-9.784
2.95955,-9.76
2.96986,-9.708
2.98017,-9.575
2.99048,-9.48
3.00079,-9.395
3.0111,-9.094
3.02141,-8.882
3.03171,-8.708
3.04202,-8.457
3.05233,-8.296
3.06264,-8.153
3.07295,-8.061
3.53683,-6.127
3.55745,-5.795
3.84609,0.165
3.85639,0.142
3.8667,0.128
3.87701,0.12
3.88732,0.109
3.89763,0.078
3.90794,0.038
3.91825,0.023
3.92855,0.007
3.93886,-0.017
3.94917,-0.03
3.95948,-0.033
3.96979,-0.044
3.9801,-0.045
3.99041,-0.04
4.00071,-0.023
4.01102,0.018
4.02133,0.06
4.03164,0.072
4.04195,0.082
4.05226,0.091
4.06256,0.06
4.07287,0.037
4.08318,0.039
4.09349,0.031
4.1038,0.022
4.11411,0.035
4.12442,0.064
4.13472,0.081
4.14503,0.061
4.15534,0.061
4.16565,0.047
4.17596,0.032
4.18627,0.046
4.19658,0.062
4.20688,0.06
4.21719,0.075
4.2275,0.077
4.23781,0.073
4.24812,0.084
4.25843,0.088
4.26874,0.09
4.27904,0.093
4.28935,0.083
4.29966,0.059
4.30997,0.026
4.32028,-3.205
4.33059,-3.205
4.40275,-3.214
4.41305,-3.231
