freq_GHz,S11_dB_digitised
0.02757,-1.117
0.03806,-1.131
0.04855,-1.145
0.34232,-1.229
0.35281,-1.234
0.3633,-1.235
0.37379,-1.243
0.38429,-1.25
0.45773,-1.309
0.46822,-1.322
0.47871,-1.331
0.4892,-1.349
0.49969,-1.359
0.51018,-1.369
0.52068,-1.379
0.53117,-1.391
0.54166,-1.399
0.55215,-1.409
0.56264,-1.436
0.57313,-1.474
0.58363,-1.526
0.59412,-1.545
0.60461,-1.548
0.6151,-1.551
0.62559,-1.555
0.63608,-1.56
0.64658,-1.599
0.65707,-1.604
0.66756,-1.61
0.67805,-1.614
0.68854,-1.621
0.69903,-1.627
0.70953,-1.632
0.72002,-1.636
0.73051,-1.637
0.741,-1.647
0.75149,-1.677
0.76198,-1.707
0.77248,-1.731
0.78297,-1.738
0.83543,-1.915
0.84592,-1.961
0.85641,-2.001
0.8669,-2.045
0.87739,-2.116
0.88788,-2.239
0.89838,-2.355
0.90887,-2.413
0.91936,-2.436
0.96133,-2.616
0.97182,-2.628
1.04526,-2.79
1.05575,-2.794
1.06624,-2.799
1.07673,-2.802
1.08723,-2.804
1.09772,-2.801
1.10821,-2.796
1.1187,-2.794
1.20263,-2.694
1.21313,-2.705
1.22362,-2.718
1.23411,-2.747
1.2446,-2.789
1.25509,-2.834
1.26558,-2.875
1.27608,-2.931
1.28657,-2.966
1.29706,-3.011
1.30755,-3.085
1.31804,-3.188
1.32853,-3.242
1.33903,-3.254
1.34952,-3.258
1.36001,-3.253
1.3705,-3.252
1.38099,-3.242
1.39148,-3.221
1.40198,-3.202
1.41247,-3.169
1.42296,-3.152
1.43345,-3.133
1.4964,-3.13
1.50689,-3.164
1.51738,-3.239
1.52788,-3.318
1.53837,-3.39
1.54886,-3.455
1.55935,-3.52
1.56984,-3.599
1.58033,-3.682
1.59082,-3.761
1.60132,-3.831
1.61181,-3.96
1.6223,-4.096
1.63279,-4.13
1.64328,-4.189
1.65377,-4.248
1.66427,-4.32
1.67476,-4.399
1.68525,-4.49
1.69574,-4.617
1.70623,-4.689
1.71672,-4.732
1.72722,-4.786
1.73771,-4.832
1.7482,-4.859
1.75869,-4.881
1.76918,-4.893
1.77967,-4.902
1.79017,-4.909
1.80066,-4.917
1.8741,-5.35
1.88459,-5.601
1.89508,-5.749
1.90557,-5.868
1.91607,-6.002
1.92656,-6.123
1.93705,-6.246
1.94754,-6.393
1.95803,-6.553
1.96852,-6.641
1.97902,-7.375
1.98951,-7.58
2.0,-7.727
2.01049,-7.899
2.02098,-8.115
2.03147,-8.287
2.04197,-8.45
2.05246,-8.589
2.06295,-8.733
2.07344,-8.895
2.08393,-8.982
2.09442,-9.095
2.10492,-9.16
2.11541,-9.188
2.1259,-9.189
2.17836,-9.249
2.18885,-9.308
2.19934,-9.345
2.20983,-9.421
2.22032,-9.69
2.23082,-9.854
2.24131,-9.995
2.2518,-10.151
2.26229,-10.305
2.27278,-10.445
2.28327,-10.623
2.29377,-10.788
2.30426,-10.84
2.31475,-10.872
2.32524,-10.881
2.33573,-10.895
2.34622,-10.918
2.35672,-10.956
2.36721,-11.019
2.3777,-11.115
2.38819,-11.311
2.39868,-11.392
2.40917,-11.401
2.41967,-11.398
2.43016,-11.373
2.44065,-11.348
2.45114,-11.331
2.46163,-11.325
2.47212,-11.324
2.48262,-11.333
2.49311,-11.352
2.5036,-11.387
2.51409,-11.414
2.52458,-11.461
2.53507,-11.56
2.54557,-11.617
2.55606,-11.654
2.56655,-11.764
2.57704,-11.764
2.58753,-11.764
2.66097,-10.256
2.67146,-10.18
2.68196,-9.996
2.69245,-9.79
2.70294,-9.599
2.71343,-9.247
2.72392,-8.964
2.73441,-8.776
2.74491,-8.699
2.7554,-8.589
2.76589,-8.448
2.77638,-8.318
2.78687,-8.163
2.79736,-8.084
2.80786,-8.015
2.81835,-7.952
2.82884,-7.89
2.8813,-7.781
2.89179,-7.796
2.90228,-7.766
2.91277,-7.705
2.92326,-7.644
2.93376,-7.587
2.94425,-7.514
2.95474,-7.445
2.96523,-7.402
2.97572,-7.351
2.98621,-7.276
2.99671,-7.206
3.0072,-7.131
3.03867,-6.767
3.04916,-6.697
3.05966,-6.658
3.07015,-6.618
3.08064,-6.595
3.09113,-6.568
3.10162,-6.536
3.11211,-6.5
3.12261,-6.47
3.1331,-6.462
3.14359,-6.451
3.15408,-6.44
3.16457,-6.409
3.17506,-6.399
3.18556,-6.385
3.19605,-6.367
3.20654,-6.331
3.21703,-6.307
3.22752,-6.257
3.23801,-6.207
3.24851,-6.156
3.259,-6.107
3.30096,-5.773
3.31146,-5.671
3.32195,-5.523
3.33244,-5.433
3.34293,-5.37
3.35342,-5.305
3.46883,-4.697
3.47932,-4.642
3.48981,-4.609
3.50031,-4.552
3.5108,-4.491
3.52129,-4.449
3.53178,-4.397
3.54227,-4.343
3.55276,-4.3
3.56326,-4.244
3.57375,-4.189
3.58424,-4.14
3.59473,-4.087
3.60522,-4.005
3.61571,-3.943
3.62621,-3.895
3.6367,-3.845
3.64719,-3.797
3.65768,-3.747
3.66817,-3.685
3.68916,-3.531
3.69965,-3.452
3.71014,-3.383
3.72063,-3.325
3.73112,-3.301
3.74161,-3.255
3.7521,-3.241
3.84653,0.598
3.85702,0.574
3.86751,0.553
3.878,0.535
3.8885,0.518
3.89899,0.506
3.90948,0.456
3.91997,0.422
3.93046,0.406
3.94095,0.423
3.95145,0.433
3.96194,0.43
3.97243,0.411
3.98292,0.383
3.99341,0.383
4.0039,0.408
4.0144,0.44
4.02489,0.467
4.03538,0.484
4.04587,0.486
4.05636,0.47
4.06685,0.45
4.07735,0.443
4.08784,0.441
4.09833,0.396
4.10882,0.45
4.11931,0.478
4.1298,0.487
4.1403,0.478
4.15079,0.473
4.16128,0.465
4.17177,0.462
4.18226,0.47
4.19275,0.476
4.20325,0.465
4.21374,0.471
4.22423,0.492
4.23472,0.499
4.24521,0.511
4.2557,0.507
4.2662,0.501
4.27669,0.491
4.28718,0.499
4.29767,0.498
4.30816,0.495
4.31865,0.499
4.32915,-3.39
4.33964,-3.404
4.3921,-3.543
4.40259,-3.59
4.41308,-3.609
4.42357,-3.639
4.43406,-3.668
4.44455,-3.684
4.45505,-3.685
4.46554,-3.683
4.52849,-3.783
4.53898,-3.802
4.54947,-3.817
4.55996,-3.834
4.57045,-3.857
4.58095,-3.886
4.59144,-3.909
4.60193,-3.931
4.61242,-3.946
4.62291,-3.972
4.6334,-4.018
4.6439,-4.033
4.65439,-4.03
4.66488,-4.026
4.67537,-4.022
4.68586,-4.019
4.69635,-4.016
4.70685,-4.014
4.71734,-4.01
4.72783,-4.005
4.73832,-3.998
4.74881,-3.995
4.7593,-3.989
4.7698,-3.989
4.78029,-3.984
4.79078,-3.982
