freq_GHz,S11_dB_digitised
0.35603,-1.565
0.36587,-1.561
0.37572,-1.559
0.38556,-1.561
0.39541,-1.564
1.52754,-1.863
1.53739,-1.94
1.54723,-2.009
1.55708,-2.09
1.56692,-3.613
1.57677,-3.73
1.58661,-3.843
1.59646,-3.915
1.6063,-4.293
1.61615,-4.407
1.62599,-4.478
1.8918,-5.851
1.90164,-5.944
1.91148,-6.055
1.92133,-6.197
1.93117,-6.341
1.94102,-6.529
1.95086,-6.745
1.96071,-7.011
1.97055,-7.341
1.9804,-7.5
1.99024,-7.637
2.00009,-8.344
2.00993,-8.449
2.01978,-8.73
2.02962,-8.895
2.03947,-9.049
2.04931,-9.252
2.05915,-9.436
2.069,-9.551
2.07884,-9.624
2.08869,-9.665
2.09853,-9.69
2.10838,-9.689
2.11822,-9.64
2.12807,-9.568
2.13791,-9.48
2.1576,-9.147
2.16745,-9.092
2.17729,-9.095
2.18714,-9.124
2.19698,-9.182
2.20682,-9.257
2.21667,-9.332
2.22651,-9.412
2.23636,-9.557
2.2462,-9.759
2.25605,-9.926
2.26589,-10.134
2.27574,-10.439
2.28558,-10.812
2.29543,-10.962
2.30527,-11.102
2.31512,-11.391
2.32496,-11.557
2.33481,-11.708
2.34465,-11.846
2.35449,-11.98
2.36434,-12.127
2.37418,-12.208
2.38403,-12.254
2.39387,-12.303
2.40372,-12.395
2.41356,-12.526
2.42341,-12.71
2.43325,-12.873
2.4431,-13.096
2.45294,-13.257
2.46279,-13.38
2.47263,-13.468
2.48248,-13.552
2.49232,-13.613
2.54154,-13.7
2.55139,-13.735
2.56123,-13.808
2.57108,-13.949
2.58092,-14.109
2.59077,-14.3
2.60061,-14.539
2.61046,-14.661
2.6203,-14.725
2.66952,-14.46
2.67937,-13.818
2.68921,-13.184
2.69906,-11.991
2.7089,-11.303
2.71875,-10.952
2.72859,-10.851
2.73844,-9.998
2.74828,-9.846
2.75813,-9.621
2.76797,-9.462
2.77782,-9.207
2.89595,-9.265
2.9058,-9.356
2.96486,-9.399
2.97471,-9.336
2.98455,-9.312
2.9944,-9.183
3.00424,-9.007
3.01409,-8.675
3.02393,-8.533
3.03378,-8.49
3.04362,-7.995
3.05347,-7.866
3.06331,-7.777
3.07316,-7.705
3.40787,-6.677
3.41772,-6.664
3.42756,-6.668
3.46694,-6.673
3.47679,-6.659
3.48663,-6.647
3.49648,-6.615
3.52601,-6.329
3.53585,-6.247
3.62446,-5.487
3.6343,-5.477
3.64415,-5.424
3.65399,-5.432
3.66383,-5.838
3.67368,-5.873
3.68352,-5.874
3.69337,-5.857
3.70321,-5.806
3.78197,-5.081
3.79182,-4.99
3.83119,0.049
3.84104,-0.019
3.85088,-0.088
3.86073,-0.124
3.87057,-0.121
3.88042,-0.123
3.89026,-0.126
3.90011,-0.143
3.90995,-0.166
3.9198,-0.201
3.92964,-0.229
3.93949,-0.235
3.94933,-0.24
3.95917,-0.242
3.96902,-0.242
3.97886,-0.238
3.98871,-0.223
3.99855,-0.183
4.0084,-0.163
4.01824,-0.148
4.02809,-0.149
4.03793,-0.164
4.04778,-0.174
4.05762,-0.171
4.06747,-0.167
4.07731,-0.157
4.08716,-0.152
4.097,-0.146
4.10684,-0.146
4.11669,-0.153
4.12653,-0.153
4.13638,-0.169
4.14622,-0.182
4.15607,-0.184
4.16591,-0.184
4.17576,-0.156
4.1856,-0.139
4.19545,-0.139
4.20529,-0.134
4.21514,-0.149
4.22498,-0.16
4.23483,-0.132
4.24467,-0.078
4.25451,-0.102
4.26436,-0.117
4.2742,-0.135
4.28405,-0.155
4.29389,-0.207
