freq_GHz,S11_dB_flat_0pct,S11_dB_flat_5pct,S11_dB_flat_10pct,S11_dB_flat_15pct,S11_dB_flat_20pct
1.500000,-0.3466,-0.3574,-0.3822,-0.3985,-0.4178
1.502000,-0.3476,-0.3594,-0.3844,-0.4010,-0.4209
1.504000,-0.3487,-0.3614,-0.3866,-0.4036,-0.4240
1.506000,-0.3497,-0.3633,-0.3888,-0.4061,-0.4271
1.508000,-0.3508,-0.3653,-0.3909,-0.4087,-0.4302
1.510000,-0.3519,-0.3673,-0.3931,-0.4113,-0.4333
1.512000,-0.3530,-0.3693,-0.3954,-0.4138,-0.4364
1.514000,-0.3542,-0.3713,-0.3976,-0.4164,-0.4395
1.516000,-0.3553,-0.3733,-0.3998,-0.4190,-0.4426
1.518000,-0.3564,-0.3753,-0.4020,-0.4216,-0.4457
1.520000,-0.3576,-0.3773,-0.4043,-0.4242,-0.4488
1.522000,-0.3588,-0.3793,-0.4065,-0.4268,-0.4519
1.524000,-0.3600,-0.3813,-0.4088,-0.4294,-0.4551
1.526000,-0.3612,-0.3833,-0.4110,-0.4320,-0.4582
1.528000,-0.3624,-0.3853,-0.4133,-0.4346,-0.4613
1.530000,-0.3636,-0.3873,-0.4156,-0.4372,-0.4645
1.532000,-0.3649,-0.3894,-0.4179,-0.4399,-0.4676
1.534000,-0.3661,-0.3914,-0.4202,-0.4425,-0.4707
1.536000,-0.3674,-0.3934,-0.4225,-0.4452,-0.4739
1.538000,-0.3687,-0.3955,-0.4248,-0.4479,-0.4771
1.540000,-0.3700,-0.3975,-0.4271,-0.4505,-0.4802
1.542000,-0.3713,-0.3996,-0.4295,-0.4532,-0.4834
1.544000,-0.3726,-0.4017,-0.4318,-0.4559,-0.4866
1.546000,-0.3740,-0.4037,-0.4342,-0.4586,-0.4898
1.548000,-0.3754,-0.4058,-0.4366,-0.4613,-0.4929
1.550000,-0.3767,-0.4079,-0.4390,-0.4640,-0.4961
1.552000,-0.3781,-0.4100,-0.4414,-0.4668,-0.4994
1.554000,-0.3795,-0.4121,-0.4438,-0.4695,-0.5026
1.556000,-0.3810,-0.4142,-0.4462,-0.4723,-0.5058
1.558000,-0.3824,-0.4163,-0.4486,-0.4751,-0.5090
1.560000,-0.3838,-0.4184,-0.4511,-0.4778,-0.5123
1.562000,-0.3853,-0.4205,-0.4535,-0.4806,-0.5155
1.564000,-0.3868,-0.4226,-0.4560,-0.4834,-0.5188
1.566000,-0.3883,-0.4248,-0.4585,-0.4862,-0.5221
1.568000,-0.3898,-0.4269,-0.4610,-0.4891,-0.5254
1.570000,-0.3914,-0.4291,-0.4635,-0.4919,-0.5287
1.572000,-0.3929,-0.4313,-0.4660,-0.4948,-0.5320
1.574000,-0.3945,-0.4334,-0.4685,-0.4976,-0.5353
1.576000,-0.3961,-0.4356,-0.4711,-0.5005,-0.5387
1.578000,-0.3977,-0.4378,-0.4736,-0.5034,-0.5420
1.580000,-0.3993,-0.4400,-0.4762,-0.5063,-0.5454
1.582000,-0.4009,-0.4422,-0.4788,-0.5093,-0.5488
1.584000,-0.4025,-0.4444,-0.4814,-0.5122,-0.5522
1.586000,-0.4042,-0.4467,-0.4840,-0.5152,-0.5556
1.588000,-0.4059,-0.4489,-0.4867,-0.5181,-0.5590
1.590000,-0.4076,-0.4512,-0.4893,-0.5211,-0.5625
1.592000,-0.4093,-0.4534,-0.4920,-0.5241,-0.5659
1.594000,-0.4110,-0.4557,-0.4947,-0.5272,-0.5694
1.596000,-0.4128,-0.4580,-0.4974,-0.5302,-0.5729
1.598000,-0.4146,-0.4603,-0.5001,-0.5333,-0.5764
1.600000,-0.4164,-0.4626,-0.5028,-0.5363,-0.5799
1.602000,-0.4182,-0.4649,-0.5056,-0.5394,-0.5835
1.604000,-0.4200,-0.4672,-0.5083,-0.5425,-0.5870
1.606000,-0.4218,-0.4695,-0.5111,-0.5457,-0.5906
1.608000,-0.4237,-0.4719,-0.5139,-0.5488,-0.5942
1.610000,-0.4256,-0.4743,-0.5168,-0.5520,-0.5978
1.612000,-0.4275,-0.4766,-0.5196,-0.5552,-0.6015
1.614000,-0.4294,-0.4790,-0.5225,-0.5584,-0.6051
1.616000,-0.4313,-0.4814,-0.5253,-0.5616,-0.6088
1.618000,-0.4333,-0.4839,-0.5282,-0.5648,-0.6125
1.620000,-0.4352,-0.4863,-0.5311,-0.5681,-0.6163
1.622000,-0.4372,-0.4887,-0.5341,-0.5714,-0.6200
1.624000,-0.4392,-0.4912,-0.5370,-0.5747,-0.6238
1.626000,-0.4413,-0.4937,-0.5400,-0.5780,-0.6276
1.628000,-0.4433,-0.4961,-0.5430,-0.5814,-0.6314
1.630000,-0.4454,-0.4986,-0.5460,-0.5848,-0.6352
1.632000,-0.4475,-0.5012,-0.5490,-0.5881,-0.6391
1.634000,-0.4496,-0.5037,-0.5521,-0.5916,-0.6430
1.636000,-0.4517,-0.5062,-0.5552,-0.5950,-0.6469
1.638000,-0.4538,-0.5088,-0.5583,-0.5985,-0.6508
1.640000,-0.4560,-0.5114,-0.5614,-0.6020,-0.6548
1.642000,-0.4582,-0.5140,-0.5645,-0.6055,-0.6588
1.644000,-0.4604,-0.5166,-0.5677,-0.6090,-0.6628
1.646000,-0.4626,-0.5192,-0.5709,-0.6126,-0.6669
1.648000,-0.4649,-0.5218,-0.5741,-0.6162,-0.6710
1.650000,-0.4671,-0.5245,-0.5773,-0.6198,-0.6751
1.652000,-0.4694,-0.5272,-0.5806,-0.6234,-0.6792
1.654000,-0.4717,-0.5299,-0.5839,-0.6271,-0.6834
1.656000,-0.4741,-0.5326,-0.5872,-0.6308,-0.6876
1.658000,-0.4764,-0.5353,-0.5905,-0.6345,-0.6918
1.660000,-0.4788,-0.5381,-0.5939,-0.6383,-0.6961
1.662000,-0.4812,-0.5408,-0.5973,-0.6421,-0.7004
1.664000,-0.4836,-0.5436,-0.6007,-0.6459,-0.7047
1.666000,-0.4861,-0.5464,-0.6041,-0.6497,-0.7090
1.668000,-0.4885,-0.5492,-0.6076,-0.6536,-0.7134
1.670000,-0.4910,-0.5521,-0.6111,-0.6575,-0.7179
1.672000,-0.4935,-0.5549,-0.6146,-0.6614,-0.7223
1.674000,-0.4961,-0.5578,-0.6181,-0.6654,-0.7268
1.676000,-0.4986,-0.5607,-0.6217,-0.6693,-0.7313
1.678000,-0.5012,-0.5637,-0.6253,-0.6734,-0.7359
1.680000,-0.5038,-0.5666,-0.6289,-0.6774,-0.7405
1.682000,-0.5064,-0.5696,-0.6325,-0.6815,-0.7451
1.684000,-0.5091,-0.5725,-0.6362,-0.6856,-0.7498
1.686000,-0.5118,-0.5756,-0.6399,-0.6898,-0.7545
1.688000,-0.5145,-0.5786,-0.6437,-0.6939,-0.7593
1.690000,-0.5172,-0.5816,-0.6474,-0.6982,-0.7641
1.692000,-0.5199,-0.5847,-0.6512,-0.7024,-0.7689
1.694000,-0.5227,-0.5878,-0.6551,-0.7067,-0.7738
1.696000,-0.5255,-0.5909,-0.6589,-0.7110,-0.7787
