freq_GHz,Sdd11_dB,S11_single_ended_dB,VSWR_differential
1.500000,-1.8577,-2.8617,9.3868
1.501700,-1.8669,-2.8831,9.3408
1.503400,-1.8762,-2.9047,9.2951
1.505100,-1.8855,-2.9265,9.2495
1.506800,-1.8949,-2.9484,9.2042
1.508500,-1.9043,-2.9705,9.1591
1.510200,-1.9137,-2.9928,9.1142
1.511900,-1.9232,-3.0153,9.0696
1.513600,-1.9327,-3.0379,9.0252
1.515300,-1.9423,-3.0607,8.9810
1.517000,-1.9520,-3.0837,8.9370
1.518700,-1.9617,-3.1069,8.8933
1.520400,-1.9714,-3.1303,8.8497
1.522100,-1.9812,-3.1539,8.8064
1.523800,-1.9910,-3.1776,8.7633
1.525500,-2.0009,-3.2015,8.7205
1.527200,-2.0108,-3.2257,8.6778
1.528900,-2.0208,-3.2500,8.6354
1.530600,-2.0308,-3.2745,8.5932
1.532300,-2.0408,-3.2992,8.5513
1.534000,-2.0509,-3.3241,8.5095
1.535700,-2.0611,-3.3492,8.4680
1.537400,-2.0713,-3.3746,8.4266
1.539100,-2.0815,-3.4001,8.3856
1.540800,-2.0918,-3.4258,8.3447
1.542500,-2.1022,-3.4518,8.3040
1.544200,-2.1126,-3.4779,8.2636
1.545900,-2.1230,-3.5043,8.2234
1.547600,-2.1335,-3.5309,8.1834
1.549300,-2.1440,-3.5577,8.1436
1.551000,-2.1546,-3.5847,8.1040
1.552700,-2.1652,-3.6119,8.0647
1.554400,-2.1759,-3.6394,8.0256
1.556100,-2.1866,-3.6671,7.9866
1.557800,-2.1973,-3.6951,7.9479
1.559500,-2.2081,-3.7232,7.9095
1.561200,-2.2190,-3.7516,7.8712
1.562900,-2.2299,-3.7803,7.8332
1.564600,-2.2408,-3.8091,7.7953
1.566300,-2.2518,-3.8383,7.7577
1.568000,-2.2629,-3.8676,7.7203
1.569700,-2.2739,-3.8973,7.6831
1.571400,-2.2851,-3.9271,7.6461
1.573100,-2.2962,-3.9573,7.6094
1.574800,-2.3074,-3.9877,7.5728
1.576500,-2.3187,-4.0183,7.5365
1.578200,-2.3300,-4.0492,7.5003
1.579900,-2.3414,-4.0804,7.4644
1.581600,-2.3527,-4.1118,7.4287
1.583300,-2.3642,-4.1436,7.3932
1.585000,-2.3757,-4.1756,7.3579
1.586700,-2.3872,-4.2079,7.3228
1.588400,-2.3988,-4.2404,7.2880
1.590100,-2.4104,-4.2733,7.2533
1.591800,-2.4220,-4.3064,7.2189
1.593500,-2.4337,-4.3399,7.1846
1.595200,-2.4455,-4.3736,7.1506
1.596900,-2.4572,-4.4077,7.1167
1.598600,-2.4691,-4.4420,7.0831
1.600300,-2.4809,-4.4767,7.0497
1.602000,-2.4928,-4.5117,7.0164
1.603700,-2.5048,-4.5470,6.9834
1.605400,-2.5168,-4.5826,6.9506
1.607100,-2.5288,-4.6186,6.9180
1.608800,-2.5409,-4.6549,6.8856
1.610500,-2.5530,-4.6915,6.8534
1.612200,-2.5651,-4.7285,6.8214
1.613900,-2.5773,-4.7658,6.7896
1.615600,-2.5896,-4.8035,6.7580
1.617300,-2.6018,-4.8415,6.7266
1.619000,-2.6141,-4.8799,6.6954
1.620700,-2.6265,-4.9187,6.6644
1.622400,-2.6389,-4.9578,6.6336
1.624100,-2.6513,-4.9973,6.6030
1.625800,-2.6638,-5.0372,6.5725
1.627500,-2.6763,-5.0775,6.5423
1.629200,-2.6888,-5.1182,6.5123
1.630900,-2.7014,-5.1593,6.4825
1.632600,-2.7140,-5.2008,6.4528
1.634300,-2.7266,-5.2427,6.4234
1.636000,-2.7393,-5.2851,6.3942
1.637700,-2.7520,-5.3278,6.3651
1.639400,-2.7648,-5.3711,6.3363
1.641100,-2.7775,-5.4147,6.3076
1.642800,-2.7903,-5.4588,6.2791
1.644500,-2.8032,-5.5034,6.2508
1.646200,-2.8161,-5.5484,6.2227
1.647900,-2.8290,-5.5939,6.1948
1.649600,-2.8419,-5.6398,6.1671
1.651300,-2.8549,-5.6863,6.1396
1.653000,-2.8679,-5.7332,6.1123
1.654700,-2.8809,-5.7807,6.0851
1.656400,-2.8940,-5.8287,6.0581
1.658100,-2.9071,-5.8771,6.0314
1.659800,-2.9202,-5.9262,6.0048
1.661500,-2.9333,-5.9757,5.9783
1.663200,-2.9465,-6.0258,5.9521
1.664900,-2.9597,-6.0764,5.9261
